codigo;descricao;unidade
6990105;ARGAMASSA PARA REBOCO 20KG;KG
7601873;DESENGRAXANTE UNIVERSAL ECO-W 20L;ML
6994051;FLUIDO FREIO 500ML;ML
7605064;GRAXA EP 000 900G (YAWEI);GR
7605075;GRAXA KARTER K007 900GR (YAWEI);GR
7606409;GRAXA AZUL LITIO 500G;GR
6994762;GRAXA MOBIL SHC POLYREX 462 16KG;GR
7603843;LIQ ARREFECIMENTO FLEETGUARD 18,9L;L
7603303;MASSA PLASTICA 400GR BRANCA+CATALISADOR;KG
6994640;MASSA CORRIDA 25KG;KG
6995508;SOLVENTE QUEROSENE 900ML;ML
7601223;ÓLEO LUBRIF LUBRAX 4T 20W50 24X1;L
6995479;ÓLEO HIDRÁULICO LUBRAX HYDRA XP68 20L;L
7601013;OLEO 10W40 SEMISSINTETICO;L
6994580;OLEO 20W-50 1L;L
6996113;OLEO LUBRIFIANTE LUBRAX GEAR 220 20L (AUTOINDEX);L
6994253;ÓLEO LUBRIFICANTE DO MOTOR (15W40);L
6991394;TINTA ACRILICA FOSCO BRANCO 18L;L
6995590;TINTA ESMALTE DEMARCACAO AMARELO 18L;L
6990632;TINTA ACRILICA FOSCO CONCRETO;L
6990634;TINTA P-PISO CINZA 18L;L
6990635;TINTA OSMOCOLOR STAIN-IPE 3,6L;L
7605135;RESIN PE ALTA DESIND BR 1KG (ABRASIVO PLASTICO MC-1 GRANILHA LIMPEZA WAGNER);KG
7603156;GRAXA ALTA TEMPE. AUTOMOTIVA UNILIT BLUE 500G INGRAX;KG
6991602;BOIA P/CAIXA DAGUA 3/4;UNI
6992939;COLA P/PVC INCOLOR FRASCO 175G TIGRE;UNI
6997134;CONJ UNIVERSAL HYDRA DUO CAIXA ACOPLADA;UNI
6992982;CANO 3/4POL X 3M 25MM MARROM PVC;UNI
6992989;CONEXAO JOELHO PVC 25MM 90°;UNI
6993039;CONEXAO T PVC 25MM MARROM SOLDAVEL;UNI
